"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 23 09:20:32 GMT 2025","Mon Jun 23 09:21:03 GMT 2025","30916","","E2EUITests","","","","testAddSpend()",""
"passed","Mon Jun 23 09:19:13 GMT 2025","Mon Jun 23 09:19:35 GMT 2025","22096","","E2EUITests","","","","testLoginFailure()",""
"failed","Mon Jun 23 09:18:19 GMT 2025","Mon Jun 23 09:19:12 GMT 2025","52965","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"passed","Mon Jun 23 09:19:56 GMT 2025","Mon Jun 23 09:20:13 GMT 2025","16741","","E2EUITests","","","","testRegistrationFailure()",""
"failed","Mon Jun 23 09:21:03 GMT 2025","Mon Jun 23 09:21:36 GMT 2025","32632","","E2EUITests","","","","testCheckAddingUpSpends()",""
"passed","Mon Jun 23 09:19:35 GMT 2025","Mon Jun 23 09:19:56 GMT 2025","21064","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"failed","Mon Jun 23 09:21:36 GMT 2025","Mon Jun 23 09:22:03 GMT 2025","26517","","E2EUITests","","","","testEditSpend()",""
"failed","Mon Jun 23 09:20:13 GMT 2025","Mon Jun 23 09:20:32 GMT 2025","18284","","E2EUITests","","","","testRegistrationSuccess()",""
