"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 09:19:46 GMT 2025","Mon May 12 09:20:23 GMT 2025","37157","","E2EUITests","","","","testLoginFailure()",""
"failed","Mon May 12 09:22:27 GMT 2025","Mon May 12 09:23:07 GMT 2025","40081","","E2EUITests","","","","testCheckAddingUpSpends()",""
"failed","Mon May 12 09:23:07 GMT 2025","Mon May 12 09:23:38 GMT 2025","31069","","E2EUITests","","","","testEditSpend()",""
"failed","Mon May 12 09:21:13 GMT 2025","Mon May 12 09:21:48 GMT 2025","35056","","E2EUITests","","","","testRegistrationSuccess()",""
"failed","Mon May 12 09:18:53 GMT 2025","Mon May 12 09:19:46 GMT 2025","52329","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"failed","Mon May 12 09:21:48 GMT 2025","Mon May 12 09:22:26 GMT 2025","38293","","E2EUITests","","","","testAddSpend()",""
"passed","Mon May 12 09:20:49 GMT 2025","Mon May 12 09:21:12 GMT 2025","22843","","E2EUITests","","","","testRegistrationFailure()",""
"passed","Mon May 12 09:20:24 GMT 2025","Mon May 12 09:20:49 GMT 2025","25621","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
