"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 21 09:25:40 GMT 2025","Mon Jul 21 09:26:11 GMT 2025","30595","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"failed","Mon Jul 21 09:28:59 GMT 2025","Mon Jul 21 09:30:09 GMT 2025","70392","","E2EUITests","","","","testEditSpend()",""
"failed","Mon Jul 21 09:28:21 GMT 2025","Mon Jul 21 09:28:59 GMT 2025","38012","","E2EUITests","","","","testCheckAddingUpSpends()",""
"passed","Mon Jul 21 09:26:11 GMT 2025","Mon Jul 21 09:27:18 GMT 2025","66860","","E2EUITests","","","","testRegistrationFailure()",""
"failed","Mon Jul 21 09:27:19 GMT 2025","Mon Jul 21 09:27:42 GMT 2025","23160","","E2EUITests","","","","testRegistrationSuccess()",""
"failed","Mon Jul 21 09:27:42 GMT 2025","Mon Jul 21 09:28:20 GMT 2025","38233","","E2EUITests","","","","testAddSpend()",""
"failed","Mon Jul 21 09:24:49 GMT 2025","Mon Jul 21 09:25:04 GMT 2025","15084","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"passed","Mon Jul 21 09:25:04 GMT 2025","Mon Jul 21 09:25:40 GMT 2025","36005","","E2EUITests","","","","testLoginFailure()",""
