"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 19 09:16:42 GMT 2025","Mon May 19 09:16:56 GMT 2025","13613","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"failed","Mon May 19 09:17:28 GMT 2025","Mon May 19 09:17:58 GMT 2025","29440","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"failed","Mon May 19 09:18:20 GMT 2025","Mon May 19 09:18:38 GMT 2025","17721","","E2EUITests","","","","testRegistrationSuccess()",""
"passed","Mon May 19 09:17:58 GMT 2025","Mon May 19 09:18:20 GMT 2025","21562","","E2EUITests","","","","testRegistrationFailure()",""
"failed","Mon May 19 09:19:51 GMT 2025","Mon May 19 09:20:22 GMT 2025","30538","","E2EUITests","","","","testEditSpend()",""
"failed","Mon May 19 09:18:38 GMT 2025","Mon May 19 09:19:14 GMT 2025","35462","","E2EUITests","","","","testAddSpend()",""
"passed","Mon May 19 09:16:56 GMT 2025","Mon May 19 09:17:28 GMT 2025","31839","","E2EUITests","","","","testLoginFailure()",""
"failed","Mon May 19 09:19:14 GMT 2025","Mon May 19 09:19:51 GMT 2025","37141","","E2EUITests","","","","testCheckAddingUpSpends()",""
