"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","5","0","2","0","0"
"Экран инфор Радио","Ссылка на сайт","Открытие ссылки","0","0","1","0","0"
