"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 02 09:21:21 GMT 2025","Mon Jun 02 09:21:56 GMT 2025","35064","","E2EUITests","","","","testCheckAddingUpSpends()",""
"failed","Mon Jun 02 09:21:56 GMT 2025","Mon Jun 02 09:22:25 GMT 2025","28489","","E2EUITests","","","","testEditSpend()",""
"passed","Mon Jun 02 09:19:09 GMT 2025","Mon Jun 02 09:19:39 GMT 2025","30553","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"failed","Mon Jun 02 09:20:09 GMT 2025","Mon Jun 02 09:20:38 GMT 2025","29084","","E2EUITests","","","","testRegistrationSuccess()",""
"failed","Mon Jun 02 09:18:04 GMT 2025","Mon Jun 02 09:18:31 GMT 2025","26482","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"failed","Mon Jun 02 09:20:38 GMT 2025","Mon Jun 02 09:21:20 GMT 2025","41959","","E2EUITests","","","","testAddSpend()",""
"passed","Mon Jun 02 09:19:40 GMT 2025","Mon Jun 02 09:20:09 GMT 2025","29089","","E2EUITests","","","","testRegistrationFailure()",""
"passed","Mon Jun 02 09:18:31 GMT 2025","Mon Jun 02 09:19:08 GMT 2025","37261","","E2EUITests","","","","testLoginFailure()",""
