"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 26 09:43:52 GMT 2025","Mon May 26 09:44:24 GMT 2025","31628","","E2EUITests","","","","testAddSpend()",""
"passed","Mon May 26 09:43:17 GMT 2025","Mon May 26 09:43:35 GMT 2025","17538","","E2EUITests","","","","testRegistrationFailure()",""
"passed","Mon May 26 09:42:56 GMT 2025","Mon May 26 09:43:17 GMT 2025","20476","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"failed","Mon May 26 09:41:39 GMT 2025","Mon May 26 09:42:29 GMT 2025","49322","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"failed","Mon May 26 09:44:57 GMT 2025","Mon May 26 09:45:24 GMT 2025","26733","","E2EUITests","","","","testEditSpend()",""
"failed","Mon May 26 09:43:35 GMT 2025","Mon May 26 09:43:52 GMT 2025","17229","","E2EUITests","","","","testRegistrationSuccess()",""
"failed","Mon May 26 09:44:24 GMT 2025","Mon May 26 09:44:57 GMT 2025","32479","","E2EUITests","","","","testCheckAddingUpSpends()",""
"passed","Mon May 26 09:42:29 GMT 2025","Mon May 26 09:42:56 GMT 2025","27064","","E2EUITests","","","","testLoginFailure()",""
