"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 05 09:17:52 GMT 2025","Mon May 05 09:18:10 GMT 2025","18223","","E2EUITests","","","","testRegistrationSuccess()",""
"failed","Mon May 05 09:16:04 GMT 2025","Mon May 05 09:16:37 GMT 2025","32467","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"passed","Mon May 05 09:17:13 GMT 2025","Mon May 05 09:17:34 GMT 2025","21212","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"failed","Mon May 05 09:18:41 GMT 2025","Mon May 05 09:19:15 GMT 2025","33195","","E2EUITests","","","","testCheckAddingUpSpends()",""
"passed","Mon May 05 09:16:37 GMT 2025","Mon May 05 09:17:12 GMT 2025","34920","","E2EUITests","","","","testLoginFailure()",""
"failed","Mon May 05 09:19:15 GMT 2025","Mon May 05 09:19:47 GMT 2025","32254","","E2EUITests","","","","testEditSpend()",""
"passed","Mon May 05 09:17:34 GMT 2025","Mon May 05 09:17:51 GMT 2025","17257","","E2EUITests","","","","testRegistrationFailure()",""
"failed","Mon May 05 09:18:10 GMT 2025","Mon May 05 09:18:41 GMT 2025","30886","","E2EUITests","","","","testAddSpend()",""
