"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 17 07:44:51 GMT 2025","Thu Apr 17 07:45:09 GMT 2025","17475","","E2EUITests","","","","testRegistrationFailure()",""
"failed","Thu Apr 17 07:45:09 GMT 2025","Thu Apr 17 07:45:26 GMT 2025","17611","","E2EUITests","","","","testRegistrationSuccess()",""
"passed","Thu Apr 17 07:46:19 GMT 2025","Thu Apr 17 07:46:46 GMT 2025","26577","","E2EUITests","","","","testEditSpend()",""
"passed","Thu Apr 17 07:44:27 GMT 2025","Thu Apr 17 07:44:51 GMT 2025","24012","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"failed","Thu Apr 17 07:43:22 GMT 2025","Thu Apr 17 07:43:59 GMT 2025","36842","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"passed","Thu Apr 17 07:45:56 GMT 2025","Thu Apr 17 07:46:19 GMT 2025","23108","","E2EUITests","","","","testCheckAddingUpSpends()",""
"passed","Thu Apr 17 07:45:27 GMT 2025","Thu Apr 17 07:45:55 GMT 2025","28440","","E2EUITests","","","","testAddSpend()",""
"passed","Thu Apr 17 07:43:59 GMT 2025","Thu Apr 17 07:44:26 GMT 2025","27537","","E2EUITests","","","","testLoginFailure()",""
