"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 21 09:17:30 GMT 2025","Mon Apr 21 09:17:59 GMT 2025","29259","","E2EUITests","","","","testLoginFailure()",""
"passed","Mon Apr 21 09:18:58 GMT 2025","Mon Apr 21 09:19:34 GMT 2025","35548","","E2EUITests","","","","testAddSpend()",""
"failed","Mon Apr 21 09:18:39 GMT 2025","Mon Apr 21 09:18:58 GMT 2025","18791","","E2EUITests","","","","testRegistrationSuccess()",""
"passed","Mon Apr 21 09:19:34 GMT 2025","Mon Apr 21 09:20:00 GMT 2025","26116","","E2EUITests","","","","testCheckAddingUpSpends()",""
"passed","Mon Apr 21 09:18:21 GMT 2025","Mon Apr 21 09:18:39 GMT 2025","17321","","E2EUITests","","","","testRegistrationFailure()",""
"passed","Mon Apr 21 09:20:01 GMT 2025","Mon Apr 21 09:20:31 GMT 2025","30742","","E2EUITests","","","","testEditSpend()",""
"passed","Mon Apr 21 09:17:59 GMT 2025","Mon Apr 21 09:18:21 GMT 2025","21958","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"failed","Mon Apr 21 09:16:40 GMT 2025","Mon Apr 21 09:17:29 GMT 2025","48868","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
