"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 04 09:31:25 GMT 2025","Mon Aug 04 09:32:05 GMT 2025","40124","","E2EUITests","","","","testCheckAddingUpSpends()",""
"failed","Mon Aug 04 09:28:20 GMT 2025","Mon Aug 04 09:28:46 GMT 2025","25538","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"failed","Mon Aug 04 09:32:06 GMT 2025","Mon Aug 04 09:32:40 GMT 2025","33811","","E2EUITests","","","","testEditSpend()",""
"passed","Mon Aug 04 09:29:51 GMT 2025","Mon Aug 04 09:30:18 GMT 2025","26440","","E2EUITests","","","","testRegistrationFailure()",""
"passed","Mon Aug 04 09:28:46 GMT 2025","Mon Aug 04 09:29:23 GMT 2025","36472","","E2EUITests","","","","testLoginFailure()",""
"failed","Mon Aug 04 09:30:18 GMT 2025","Mon Aug 04 09:30:47 GMT 2025","28579","","E2EUITests","","","","testRegistrationSuccess()",""
"passed","Mon Aug 04 09:29:23 GMT 2025","Mon Aug 04 09:29:51 GMT 2025","27962","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"failed","Mon Aug 04 09:30:47 GMT 2025","Mon Aug 04 09:31:25 GMT 2025","37872","","E2EUITests","","","","testAddSpend()",""
