"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 17 07:00:18 GMT 2025","Thu Apr 17 07:00:45 GMT 2025","26639","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"passed","Thu Apr 17 07:02:21 GMT 2025","Thu Apr 17 07:02:47 GMT 2025","25746","","E2EUITests","","","","testAddSpend()",""
"passed","Thu Apr 17 07:02:47 GMT 2025","Thu Apr 17 07:03:09 GMT 2025","21670","","E2EUITests","","","","testCheckAddingUpSpends()",""
"passed","Thu Apr 17 07:01:24 GMT 2025","Thu Apr 17 07:01:45 GMT 2025","20900","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"passed","Thu Apr 17 07:00:45 GMT 2025","Thu Apr 17 07:01:24 GMT 2025","38136","","E2EUITests","","","","testLoginFailure()",""
"failed","Thu Apr 17 07:02:03 GMT 2025","Thu Apr 17 07:02:21 GMT 2025","17379","","E2EUITests","","","","testRegistrationSuccess()",""
"passed","Thu Apr 17 07:03:09 GMT 2025","Thu Apr 17 07:03:35 GMT 2025","26256","","E2EUITests","","","","testEditSpend()",""
"passed","Thu Apr 17 07:01:45 GMT 2025","Thu Apr 17 07:02:03 GMT 2025","17756","","E2EUITests","","","","testRegistrationFailure()",""
