"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 07 09:20:28 GMT 2025","Mon Jul 07 09:21:01 GMT 2025","32640","","E2EUITests","","","","testAddSpend()",""
"passed","Mon Jul 07 09:19:07 GMT 2025","Mon Jul 07 09:19:30 GMT 2025","22595","","E2EUITests","","","","testLoginFailure()",""
"failed","Mon Jul 07 09:21:01 GMT 2025","Mon Jul 07 09:21:34 GMT 2025","32912","","E2EUITests","","","","testCheckAddingUpSpends()",""
"passed","Mon Jul 07 09:19:30 GMT 2025","Mon Jul 07 09:19:50 GMT 2025","20216","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"passed","Mon Jul 07 09:19:51 GMT 2025","Mon Jul 07 09:20:09 GMT 2025","18835","","E2EUITests","","","","testRegistrationFailure()",""
"failed","Mon Jul 07 09:18:43 GMT 2025","Mon Jul 07 09:19:07 GMT 2025","24317","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"failed","Mon Jul 07 09:20:10 GMT 2025","Mon Jul 07 09:20:28 GMT 2025","17929","","E2EUITests","","","","testRegistrationSuccess()",""
"failed","Mon Jul 07 09:21:34 GMT 2025","Mon Jul 07 09:22:03 GMT 2025","29063","","E2EUITests","","","","testEditSpend()",""
