"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 30 09:19:36 GMT 2025","Mon Jun 30 09:20:01 GMT 2025","24410","","E2EUITests","","","","testRegistrationFailure()",""
"failed","Mon Jun 30 09:20:26 GMT 2025","Mon Jun 30 09:21:04 GMT 2025","38075","","E2EUITests","","","","testAddSpend()",""
"passed","Mon Jun 30 09:18:46 GMT 2025","Mon Jun 30 09:19:14 GMT 2025","28183","","E2EUITests","","","","testLoginFailure()",""
"failed","Mon Jun 30 09:21:40 GMT 2025","Mon Jun 30 09:22:24 GMT 2025","43692","","E2EUITests","","","","testEditSpend()",""
"passed","Mon Jun 30 09:19:15 GMT 2025","Mon Jun 30 09:19:36 GMT 2025","21408","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"failed","Mon Jun 30 09:20:01 GMT 2025","Mon Jun 30 09:20:26 GMT 2025","24815","","E2EUITests","","","","testRegistrationSuccess()",""
"failed","Mon Jun 30 09:18:08 GMT 2025","Mon Jun 30 09:18:46 GMT 2025","37549","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"failed","Mon Jun 30 09:21:05 GMT 2025","Mon Jun 30 09:21:40 GMT 2025","35263","","E2EUITests","","","","testCheckAddingUpSpends()",""
