"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 17 07:34:09 GMT 2025","Thu Apr 17 07:34:36 GMT 2025","27624","","E2EUITests","","","","testEditSpend()",""
"passed","Thu Apr 17 07:31:51 GMT 2025","Thu Apr 17 07:32:21 GMT 2025","29737","","E2EUITests","","","","testLoginFailure()",""
"failed","Thu Apr 17 07:31:38 GMT 2025","Thu Apr 17 07:31:51 GMT 2025","12817","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"failed","Thu Apr 17 07:33:01 GMT 2025","Thu Apr 17 07:33:18 GMT 2025","17310","","E2EUITests","","","","testRegistrationSuccess()",""
"passed","Thu Apr 17 07:33:18 GMT 2025","Thu Apr 17 07:33:44 GMT 2025","25950","","E2EUITests","","","","testAddSpend()",""
"passed","Thu Apr 17 07:33:45 GMT 2025","Thu Apr 17 07:34:08 GMT 2025","23938","","E2EUITests","","","","testCheckAddingUpSpends()",""
"passed","Thu Apr 17 07:32:21 GMT 2025","Thu Apr 17 07:32:42 GMT 2025","20532","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"passed","Thu Apr 17 07:32:42 GMT 2025","Thu Apr 17 07:33:00 GMT 2025","18216","","E2EUITests","","","","testRegistrationFailure()",""
