"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 17 07:21:16 GMT 2025","Thu Apr 17 07:21:51 GMT 2025","34928","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"passed","Thu Apr 17 07:23:19 GMT 2025","Thu Apr 17 07:23:45 GMT 2025","25778","","E2EUITests","","","","testEditSpend()",""
"passed","Thu Apr 17 07:22:56 GMT 2025","Thu Apr 17 07:23:19 GMT 2025","22649","","E2EUITests","","","","testCheckAddingUpSpends()",""
"failed","Thu Apr 17 07:22:08 GMT 2025","Thu Apr 17 07:22:26 GMT 2025","17804","","E2EUITests","","","","testRegistrationSuccess()",""
"passed","Thu Apr 17 07:21:52 GMT 2025","Thu Apr 17 07:22:08 GMT 2025","16123","","E2EUITests","","","","testRegistrationFailure()",""
"failed","Thu Apr 17 07:20:21 GMT 2025","Thu Apr 17 07:20:44 GMT 2025","23288","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"passed","Thu Apr 17 07:22:26 GMT 2025","Thu Apr 17 07:22:56 GMT 2025","29655","","E2EUITests","","","","testAddSpend()",""
"passed","Thu Apr 17 07:20:44 GMT 2025","Thu Apr 17 07:21:16 GMT 2025","31623","","E2EUITests","","","","testLoginFailure()",""
