"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 09 09:16:53 GMT 2025","Mon Jun 09 09:17:11 GMT 2025","18870","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"failed","Mon Jun 09 09:19:10 GMT 2025","Mon Jun 09 09:19:42 GMT 2025","32177","","E2EUITests","","","","testCheckAddingUpSpends()",""
"failed","Mon Jun 09 09:19:43 GMT 2025","Mon Jun 09 09:20:11 GMT 2025","28091","","E2EUITests","","","","testEditSpend()",""
"failed","Mon Jun 09 09:18:22 GMT 2025","Mon Jun 09 09:18:39 GMT 2025","17125","","E2EUITests","","","","testRegistrationSuccess()",""
"passed","Mon Jun 09 09:17:43 GMT 2025","Mon Jun 09 09:18:04 GMT 2025","21438","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"failed","Mon Jun 09 09:18:40 GMT 2025","Mon Jun 09 09:19:10 GMT 2025","30439","","E2EUITests","","","","testAddSpend()",""
"passed","Mon Jun 09 09:18:05 GMT 2025","Mon Jun 09 09:18:22 GMT 2025","17185","","E2EUITests","","","","testRegistrationFailure()",""
"passed","Mon Jun 09 09:17:12 GMT 2025","Mon Jun 09 09:17:43 GMT 2025","30762","","E2EUITests","","","","testLoginFailure()",""
