"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 28 10:51:01 GMT 2025","Mon Apr 28 10:51:29 GMT 2025","27700","","E2EUITests","","","","testEditSpend()",""
"passed","Mon Apr 28 10:48:53 GMT 2025","Mon Apr 28 10:49:21 GMT 2025","27626","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"passed","Mon Apr 28 10:49:21 GMT 2025","Mon Apr 28 10:49:39 GMT 2025","17741","","E2EUITests","","","","testRegistrationFailure()",""
"failed","Mon Apr 28 10:49:39 GMT 2025","Mon Apr 28 10:49:58 GMT 2025","18696","","E2EUITests","","","","testRegistrationSuccess()",""
"failed","Mon Apr 28 10:48:08 GMT 2025","Mon Apr 28 10:48:22 GMT 2025","14791","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"failed","Mon Apr 28 10:50:29 GMT 2025","Mon Apr 28 10:51:01 GMT 2025","32207","","E2EUITests","","","","testCheckAddingUpSpends()",""
"failed","Mon Apr 28 10:49:58 GMT 2025","Mon Apr 28 10:50:28 GMT 2025","30491","","E2EUITests","","","","testAddSpend()",""
"passed","Mon Apr 28 10:48:23 GMT 2025","Mon Apr 28 10:48:53 GMT 2025","29983","","E2EUITests","","","","testLoginFailure()",""
