"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 17 06:45:04 GMT 2025","Thu Apr 17 06:45:27 GMT 2025","23210","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"failed","Thu Apr 17 06:45:44 GMT 2025","Thu Apr 17 06:46:01 GMT 2025","17346","","E2EUITests","","","","testRegistrationSuccess()",""
"passed","Thu Apr 17 06:44:13 GMT 2025","Thu Apr 17 06:45:04 GMT 2025","51374","","E2EUITests","","","","testLoginFailure()",""
"passed","Thu Apr 17 06:46:50 GMT 2025","Thu Apr 17 06:47:16 GMT 2025","25508","","E2EUITests","","","","testEditSpend()",""
"passed","Thu Apr 17 06:45:28 GMT 2025","Thu Apr 17 06:45:43 GMT 2025","15707","","E2EUITests","","","","testRegistrationFailure()",""
"failed","Thu Apr 17 06:43:46 GMT 2025","Thu Apr 17 06:44:12 GMT 2025","26388","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"passed","Thu Apr 17 06:46:28 GMT 2025","Thu Apr 17 06:46:50 GMT 2025","22413","","E2EUITests","","","","testCheckAddingUpSpends()",""
"passed","Thu Apr 17 06:46:01 GMT 2025","Thu Apr 17 06:46:27 GMT 2025","26010","","E2EUITests","","","","testAddSpend()",""
