"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 14 09:22:30 GMT 2025","Mon Jul 14 09:22:44 GMT 2025","14097","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"passed","Mon Jul 14 09:23:30 GMT 2025","Mon Jul 14 09:23:45 GMT 2025","15285","","E2EUITests","","","","testRegistrationFailure()",""
"passed","Mon Jul 14 09:23:12 GMT 2025","Mon Jul 14 09:23:30 GMT 2025","18256","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"passed","Mon Jul 14 09:22:45 GMT 2025","Mon Jul 14 09:23:11 GMT 2025","26695","","E2EUITests","","","","testLoginFailure()",""
"failed","Mon Jul 14 09:24:34 GMT 2025","Mon Jul 14 09:25:04 GMT 2025","30018","","E2EUITests","","","","testCheckAddingUpSpends()",""
"failed","Mon Jul 14 09:24:04 GMT 2025","Mon Jul 14 09:24:33 GMT 2025","29825","","E2EUITests","","","","testAddSpend()",""
"failed","Mon Jul 14 09:23:46 GMT 2025","Mon Jul 14 09:24:03 GMT 2025","17728","","E2EUITests","","","","testRegistrationSuccess()",""
"failed","Mon Jul 14 09:25:04 GMT 2025","Mon Jul 14 09:25:28 GMT 2025","24320","","E2EUITests","","","","testEditSpend()",""
