"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 17 07:58:04 GMT 2025","Thu Apr 17 07:58:23 GMT 2025","19161","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"failed","Thu Apr 17 07:58:39 GMT 2025","Thu Apr 17 07:58:56 GMT 2025","16875","","E2EUITests","","","","testRegistrationSuccess()",""
"passed","Thu Apr 17 07:57:34 GMT 2025","Thu Apr 17 07:58:03 GMT 2025","29288","","E2EUITests","","","","testLoginFailure()",""
"passed","Thu Apr 17 07:59:20 GMT 2025","Thu Apr 17 07:59:43 GMT 2025","22832","","E2EUITests","","","","testCheckAddingUpSpends()",""
"passed","Thu Apr 17 07:58:23 GMT 2025","Thu Apr 17 07:58:39 GMT 2025","15784","","E2EUITests","","","","testRegistrationFailure()",""
"failed","Thu Apr 17 07:57:13 GMT 2025","Thu Apr 17 07:57:34 GMT 2025","20386","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"passed","Thu Apr 17 07:59:44 GMT 2025","Thu Apr 17 08:00:07 GMT 2025","23815","","E2EUITests","","","","testEditSpend()",""
"passed","Thu Apr 17 07:58:56 GMT 2025","Thu Apr 17 07:59:20 GMT 2025","23921","","E2EUITests","","","","testAddSpend()",""
