"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 16 09:24:09 GMT 2025","Mon Jun 16 09:24:54 GMT 2025","44865","","E2EUITests","","","","testEditSpend()",""
"failed","Mon Jun 16 09:20:54 GMT 2025","Mon Jun 16 09:21:16 GMT 2025","21950","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"passed","Mon Jun 16 09:21:43 GMT 2025","Mon Jun 16 09:22:23 GMT 2025","39202","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
"failed","Mon Jun 16 09:22:42 GMT 2025","Mon Jun 16 09:23:01 GMT 2025","19004","","E2EUITests","","","","testRegistrationSuccess()",""
"failed","Mon Jun 16 09:23:01 GMT 2025","Mon Jun 16 09:23:34 GMT 2025","32768","","E2EUITests","","","","testAddSpend()",""
"failed","Mon Jun 16 09:23:35 GMT 2025","Mon Jun 16 09:24:09 GMT 2025","34383","","E2EUITests","","","","testCheckAddingUpSpends()",""
"passed","Mon Jun 16 09:21:16 GMT 2025","Mon Jun 16 09:21:43 GMT 2025","26988","","E2EUITests","","","","testLoginFailure()",""
"passed","Mon Jun 16 09:22:23 GMT 2025","Mon Jun 16 09:22:42 GMT 2025","18790","","E2EUITests","","","","testRegistrationFailure()",""
