"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 28 09:29:11 GMT 2025","Mon Jul 28 09:29:38 GMT 2025","27369","","E2EUITests","","","","testRegistrationFailure()",""
"failed","Mon Jul 28 09:29:38 GMT 2025","Mon Jul 28 09:30:00 GMT 2025","21351","","E2EUITests","","","","testRegistrationSuccess()",""
"failed","Mon Jul 28 09:31:10 GMT 2025","Mon Jul 28 09:31:48 GMT 2025","38460","","E2EUITests","","","","testEditSpend()",""
"failed","Mon Jul 28 09:26:30 GMT 2025","Mon Jul 28 09:27:12 GMT 2025","42415","","E2EUITests","","","","testLoginFailure()",""
"failed","Mon Jul 28 09:30:00 GMT 2025","Mon Jul 28 09:30:34 GMT 2025","34358","","E2EUITests","","","","testAddSpend()",""
"failed","Mon Jul 28 09:30:35 GMT 2025","Mon Jul 28 09:31:09 GMT 2025","34719","","E2EUITests","","","","testCheckAddingUpSpends()",""
"failed","Mon Jul 28 09:25:58 GMT 2025","Mon Jul 28 09:26:30 GMT 2025","31425","","E2EUITests","","","","testGoLoginFromRegistrationScreen()",""
"passed","Mon Jul 28 09:27:13 GMT 2025","Mon Jul 28 09:29:10 GMT 2025","117502","","E2EUITests","","","","Открытие ссылки - matthewfetcher.com","Логин успешен"
