"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","6","0","1","0","0"
"Экран инфор Радио","Ссылка на сайт","Открытие ссылки","0","0","1","0","0"
